Column1,Column2,Column3
10,20,30.0
20,30,40.0
30,40,50.0
40,50,60.0
50,60,70.0
60,70,
70,80,90.0
80,90,100.0
90,100,110.0
100,110,120.0
110,120,130.0
120,130,140.0
130,140,150.0
140,150,160.0
150,160,170.0
160,170,
170,180,190.0
180,190,200.0
190,200,210.0
200,210,220.0
210,220,230.0
220,230,240.0
230,240,250.0
240,250,260.0
250,260,270.0
260,270,280.0
270,280,290.0
280,290,300.0
290,300,310.0
300,310,320.0
310,320,330.0
320,330,340.0
330,340,350.0
340,350,360.0
350,360,370.0
360,370,380.0
370,380,390.0
380,390,400.0
390,400,410.0
400,410,420.0
410,420,430.0
420,430,440.0
430,440,450.0
440,450,460.0
450,460,470.0
460,470,480.0
470,480,490.0
480,490,500.0
490,500,510.0
500,510,520.0
510,520,530.0
520,530,540.0
530,540,550.0
540,550,560.0
550,560,570.0
560,570,580.0
570,580,590.0
580,590,600.0
590,600,610.0
600,610,620.0
610,620,630.0
620,630,640.0
630,640,650.0
640,650,660.0
650,660,670.0
660,670,680.0
670,680,690.0
680,690,700.0
690,700,710.0
700,710,720.0
710,720,730.0
720,730,740.0
730,740,750.0
740,750,760.0
750,760,770.0
760,770,780.0
770,780,790.0
780,790,800.0
790,800,810.0
800,810,820.0
810,820,830.0
820,830,840.0
830,840,850.0
840,850,860.0
850,860,870.0
860,870,880.0
870,880,890.0
880,890,900.0
890,900,910.0
900,910,920.0
910,920,930.0
920,930,940.0
930,940,950.0
940,950,960.0
950,960,970.0
960,970,980.0
970,980,990.0
980,990,1000.0
990,1000,1010.0
1000,1010,1020.0
